Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-04-21,16.126678088458867,16.42258056053829,16.065755624234054,16.361658096313477,1415600,0.0,0,,,,,,,,,,17.275470733642578
2017-04-24,16.361652395147196,16.970863545378283,16.23110762294535,16.788101196289062,1844800,0.0,0,0.026063562596487122,1.0260635625964871,,,,,,,,17.2841739654541
2017-04-25,16.87513568711294,16.962166118220928,16.632322294892,16.692373275756836,622000,0.0,0,-0.005702129109954823,1.0202128156875416,,,,,,,,17.414718627929688
2017-04-26,16.770700676800956,16.831621481236713,16.422580608619892,16.570531845092773,567600,0.0,0,-0.007299227536507247,1.0127660502101776,,,,,,,,17.371204376220703
2017-04-27,16.52701767986636,16.648859302603466,16.248521593628638,16.561830520629883,473600,0.0,0,-0.0005251083395653167,1.0122342383111835,,,,,,,,17.458232879638672
2017-04-28,16.47479616622209,16.579231343775962,16.431280125601962,16.518310546875,398000,0.0,0,-0.002627727273303071,1.0095743627962022,,,,,,,,17.336397171020508
2017-05-01,16.87513573083477,17.493050299331763,16.56182850198864,16.614046096801758,2204500,0.0,0,0.005795722852835583,1.015425576002297,,,,,,,,17.780248641967773
2017-05-02,17.04919847526469,17.05790168535537,16.66626553111258,16.683671951293945,1389100,0.0,0,0.0041907825514935215,1.0196810037885478,,,,,,,,18.302431106567383
2017-05-03,16.875129961656047,16.988269981700086,16.35295087210981,16.544416427612305,478800,0.0,0,-0.00834681502298662,1.0111699150674713,,,,16.779402961782907,,,,18.59833335876465
2017-05-04,16.631452535758772,16.666263712355036,16.527015686035156,16.527015686035156,494400,0.0,0,-0.0010517591631764578,1.0101064078437707,,,,16.862078961138558,,,,18.868127822875977
2017-05-05,16.58793459942459,16.740238252080562,16.535717010498047,16.535717010498047,2018300,0.0,0,0.0005264909665598783,1.0106382197427648,,,,16.8707859464802,,,,18.989965438842773
2017-05-08,16.544424141387843,16.579235322270314,16.32684886597764,16.379066467285156,522100,0.0,0,-0.00947346541510341,1.00106397352085,,,,16.8707859464802,,,,18.720170974731445
2017-05-09,16.474796437093033,16.474796437093033,15.926505936035204,16.161487579345703,597800,0.0,0,-0.013283961474485517,0.9877658782631036,,,,16.709778117683484,,,,18.476486206054688
2017-05-10,16.109270084783137,16.34425172948044,15.874288440085836,16.01353645324707,839400,0.0,0,-0.009154548761199033,0.9787233273658954,,,,16.6836693697088,,,,18.42427062988281
2017-05-11,16.53572089005724,16.614048121807553,16.152787941496566,16.561830520629883,1446400,0.0,0,0.0342394116991962,1.0122342383111835,,,,16.6836693697088,,,,18.58962631225586
2017-05-12,16.614044497787777,16.614044497787777,16.009185631184092,16.17889404296875,522800,0.0,0,-0.02312162759932468,0.9888297352096663,,,,16.466095062720605,,,,18.389453887939453
2017-05-15,16.205005645751953,16.883839375745808,16.117975212172176,16.205005645751953,947200,0.0,0,0.0016139300198056983,0.9904256372037977,,,,16.43127921089296,,,,18.24150657653809
2017-05-16,16.2833310750609,16.457391940777917,16.100568660028728,16.344253540039062,623900,0.0,0,0.008592893907668042,0.9989362596277245,,,,16.37906390791582,,,,18.15447998046875
2017-05-17,16.274627805124528,16.274627805124528,15.395623680123697,16.135379791259766,1288300,0.0,0,-0.012779644433905335,0.9861702094175469,,,,16.139731527934753,,,,18.276317596435547
