Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-04-21,19.049999237060547,19.100000381469727,16.299999237060547,16.899999618530273,756600,0,0,,,,,,,,,,13.25
2017-04-24,17.25,17.549999237060547,15.550000190734863,15.949999809265137,396000,0,0,-0.056213007734242426,0.9437869922657576,,,,,,,,13.25
2017-04-25,16.100000381469727,18.149999618530277,16.02899932861328,17.549999237060547,526000,0,0,0.10031344494850658,1.0384615167575253,,,,,,,,13.899999618530272
2017-04-26,17.5,18.149999618530277,16.850000381469727,17.850000381469727,347400,0,0,0.017094083045636976,1.0562130641646765,,,,,,,,14.149999618530272
2017-04-27,17.899999618530273,17.899999618530273,17.25,17.350000381469727,174600,0,0,-0.028011203883169355,1.0266272646802928,,,,,,,,13.100000381469728
2017-04-28,17.399999618530273,17.600000381469727,16.600000381469727,17.100000381469727,363600,0,0,-0.014409221585205634,1.0118343649381007,,,,,,,,13.149999618530272
2017-05-01,17.100000381469727,17.350000381469727,16.75,16.850000381469727,425500,0,0,-0.014619882714792864,0.9970414651959087,,,,,,,,13.449999809265137
2017-05-02,16.950000762939453,16.950000762939453,15.75,16.600000381469727,349700,0,0,-0.014836794916333051,0.9822485654537169,,,,,,,,13.199999809265137
2017-05-03,16.450000762939453,16.899999618530273,15.649999618530272,15.75,209300,0,0,-0.051204841080519925,0.9319526837580906,,,,17.325000286102295,,,,12.850000381469728
2017-05-04,15.850000381469728,16.200000762939453,15.399999618530272,15.949999809265137,124400,0,0,0.01269840058826266,0.9437869922657572,,,,16.774999618530273,,,,13.100000381469728
2017-05-05,15.850000381469728,16.5,14.050000190734863,14.949999809265137,525700,0,0,-0.06269592551462688,0.8846153932969896,,,,16.09999990463257,,,,13.449999809265137
2017-05-08,14.75,14.800000190734863,14.100000381469728,14.25,495200,0,0,-0.046822730314104555,0.8431952853049391,,,,16.09999990463257,,,,12.800000190734863
2017-05-09,14.300000190734863,14.699999809265137,14.0,14.649999618530272,288500,0,0,0.028070148668791095,0.8668639023202726,,,,15.949999809265137,,,,12.300000190734863
