Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-07-05,9.5,9.5,8.625,8.625,50032,0,0.0,-0.07999999999999996,1.9714285714285698,8.625,10.588221037505768,6.661778962494232,10.0,9.1875,5.25,,6.75
2017-07-06,8.625,9.5,8.0,9.25,83928,0,0.0,0.07246376811594213,2.1142857142857125,8.64375,10.623436494983743,6.664063505016259,10.25,9.1875,5.28125,,7.0
2017-07-07,10.25,11.75,8.875,9.5,266024,0,0.0,0.027027027027026973,2.1714285714285695,8.60625,10.487752951170451,6.724747048829547,10.25,9.3125,5.28125,,7.0
2017-07-10,10.0,10.0,8.875,9.125,56968,0,0.0,-0.03947368421052633,2.0857142857142836,8.6125,10.500079834491487,6.724920165508514,10.5,9.3125,5.40625,,7.125
2017-07-11,9.0,9.25,8.75,9.0,53480,0,0.0,-0.013698630136986356,2.057142857142855,8.59375,10.45770863052691,6.729791369473091,10.5,9.625,5.4375,,6.875
2017-07-12,8.625,8.875,8.25,8.625,65216,0,0.0,-0.04166666666666663,1.9714285714285695,8.575,10.429655876720151,6.7203441232798475,10.5,9.9375,6.3125,,6.875
2017-07-13,8.625,8.75,8.125,8.25,57120,0,0.0,-0.04347826086956519,1.885714285714284,8.5875,10.429679130097934,6.7453208699020655,9.875,9.9375,6.3125,,6.75
2017-07-14,8.5,9.5,8.375,8.75,115296,0,0.0,0.06060606060606055,1.999999999999998,8.64375,10.432285327697224,6.855214672302777,9.875,9.9375,6.90625,,6.5
2017-07-17,9.0,9.125,8.375,8.5,60688,0,0.0,-0.02857142857142858,1.9428571428571408,8.65625,10.43699635077246,6.875503649227539,9.875,9.875,8.90625,,6.375
2017-07-18,8.625,8.625,8.0,8.0,100800,0,0.0,-0.05882352941176472,1.8285714285714267,8.6625,10.432971316969153,6.892028683030846,9.875,9.875,8.9375,,6.75
2017-07-19,8.125,8.75,8.0,8.375,69976,0,0.0,0.046875,1.9142857142857124,8.70625,10.400446188073913,7.012053811926089,9.875,9.875,8.96875,,6.625
2017-07-20,8.625,8.625,8.25,8.375,43824,0,0.0,0.0,1.9142857142857124,8.7625,10.328040011087468,7.19695998891253,9.0,9.875,9.03125,,6.5
2017-07-21,8.25,8.25,8.0,8.125,59840,0,0.0,-0.02985074626865669,1.8571428571428554,8.79375,10.279302595217636,7.308197404782362,8.75,9.875,9.03125,,6.25
2017-07-24,8.0,8.125,6.25,7.375,98144,0,0.0,-0.09230769230769231,1.6857142857142842,8.78125,10.309983458403416,7.252516541596584,7.875,9.625,9.1875,,6.25
2017-07-25,7.375,7.625,6.625,7.0,111256,0,0.0,-0.05084745762711862,1.5999999999999985,8.7375,10.412237921366541,7.06276207863346,7.875,9.625,9.40625,,6.25
2017-07-26,7.0,7.0,5.75,6.375,125064,0,0.0,-0.0892857142857143,1.4571428571428557,8.6375,10.603776135771684,6.671223864228315,7.625,9.375,9.4375,,6.125
2017-07-27,6.25,6.5,5.75,5.75,94872,0,0.0,-0.0980392156862745,1.314285714285713,8.41875,10.634861622568721,6.202638377431278,7.4375,9.375,9.5,,6.25
2017-07-28,5.875,7.125,5.625,6.5,169328,0,0.0,0.13043478260869557,1.485714285714284,8.2125,10.33366657327493,6.09133342672507,7.1875,9.3125,8.8125,,6.0
2017-07-31,6.75,6.75,6.0,6.25,56128,0,0.0,-0.038461538461538436,1.428571428571427,8.05625,10.271220877199534,5.841279122800467,7.1875,9.3125,8.8125,,6.125
2017-08-01,8.625,9.5,7.125,7.625,808664,0,0.0,0.21999999999999997,1.7428571428571409,7.96875,10.104425583361945,5.8330744166380555,7.5625,9.3125,8.5625,,5.75
2017-08-02,8.125,8.25,6.875,6.875,132472,0,0.0,-0.09836065573770492,1.5714285714285696,7.88125,10.04572482082836,5.7167751791716395,7.5625,9.3125,8.5625,,6.0
2017-08-03,6.75,6.875,6.375,6.75,57936,0,0.0,-0.018181818181818188,1.5428571428571412,7.75625,9.8779750150464,5.6345249849535985,7.5625,9.3125,8.59375,,6.0
2017-08-04,6.5,7.25,6.5,7.0,42160,0,0.0,0.03703703703703698,1.599999999999998,7.63125,9.616036529022564,5.6464634709774355,7.5625,9.3125,9.0625,,6.0
2017-08-07,7.125,7.25,6.75,7.0,31416,0,0.0,0.0,1.599999999999998,7.525,9.402006014627373,5.6479939853726275,7.5625,8.6875,9.5,,5.875
2017-08-08,7.0,7.0,6.5,6.625,33728,0,0.0,-0.0535714285714286,1.5142857142857125,7.40625,9.192310701361333,5.6201892986386675,7.5625,8.6875,9.53125,,6.5
2017-08-09,6.625,6.875,6.5,6.75,26280,0,0.0,0.018867924528301883,1.542857142857141,7.3125,9.02749999999999,5.59750000000001,7.5625,8.6875,9.53125,,6.125
2017-08-10,6.875,7.125,6.625,6.75,33592,0,0.0,0.0,1.542857142857141,7.2375,8.912237921366541,5.562762078633458,7.75,8.6875,9.59375,8.5625,6.25
2017-08-11,7.125,7.375,6.75,7.0,50328,0,0.0,0.03703703703703698,1.5999999999999979,7.15,8.674024796040843,5.625975203959157,7.9375,8.6875,9.71875,8.625,6.25
2017-08-14,7.25,7.25,6.75,7.0,46040,0,0.0,0.0,1.5999999999999979,7.075,8.466389309476785,5.683610690523215,7.3125,7.8125,9.78125,8.625,6.25
2017-08-15,7.0,7.125,6.875,7.125,47760,0,0.0,0.017857142857142794,1.6285714285714263,7.03125,8.356290093733005,5.706209906266996,6.875,7.5625,9.90625,8.625,6.125
2017-08-16,7.125,8.0,6.875,6.875,145480,0,0.0,-0.03508771929824561,1.5714285714285692,6.95625,8.127930389103827,5.784569610896173,7.25,7.5625,10.0625,8.625,6.125
2017-08-17,7.125,7.125,6.75,6.875,52344,0,0.0,0.0,1.5714285714285692,6.88125,7.85307610936426,5.90942389063574,7.25,7.5625,10.21875,8.625,6.125
2017-08-18,6.75,7.0,6.625,6.75,31952,0,0.0,-0.018181818181818188,1.5428571428571407,6.8125,7.597386012508536,6.027613987491464,7.25,7.5625,9.90625,8.625,6.375
2017-08-21,6.75,6.75,6.375,6.5,33784,0,0.0,-0.03703703703703709,1.4857142857142835,6.76875,7.519800623775558,6.017699376224441,7.1875,7.5625,9.90625,8.625,6.25
2017-08-22,6.375,6.625,6.375,6.375,23336,0,0.0,-0.019230769230769273,1.4571428571428549,6.7375,7.499512398020408,5.975487601979592,7.1875,7.5625,9.875,8.625,6.25
2017-08-23,6.625,6.875,6.25,6.75,48872,0,0.0,0.05882352941176472,1.5428571428571405,6.75625,7.49969057030735,6.012809429692649,7.125,7.5625,9.875,8.6875,6.25
2017-08-24,6.875,6.875,6.5,6.625,24584,0,0.0,-0.01851851851851849,1.514285714285712,6.8,7.386278180783771,6.213721819216229,7.125,7.5625,9.875,8.75,6.625
2017-08-25,6.75,7.25,6.5,6.5,90080,0,0.0,-0.018867924528301883,1.4857142857142835,6.8,7.386278180783771,6.213721819216229,7.125,7.5625,9.4375,8.75,6.375
2017-08-28,6.375,6.375,6.125,6.25,78872,0,0.0,-0.038461538461538436,1.4285714285714266,6.8,7.386278180783771,6.213721819216229,7.0625,7.5625,9.3125,8.75,6.0
2017-08-29,6.5,6.5,6.125,6.25,25760,0,0.0,0.0,1.4285714285714266,6.73125,7.22940257385873,6.233097426141271,6.6875,7.5625,8.75,8.75,6.125
2017-08-30,6.25,6.5,5.875,6.25,51608,0,0.0,0.0,1.4285714285714266,6.7,7.23558968977142,6.164410310228581,6.5625,7.5625,8.75,8.75,6.0
2017-08-31,6.0,6.375,6.0,6.125,39624,0,0.0,-0.020000000000000018,1.3999999999999981,6.66875,7.259724384964512,6.077775615035488,6.5625,7.5625,8.5,8.75,5.75
2017-09-01,6.25,6.25,6.125,6.25,18416,0,0.0,0.020408163265306145,1.4285714285714266,6.63125,7.228604860152105,6.033895139847894,6.5625,7.5625,8.40625,8.875,5.625
